リスクシンボル,正規化された損失,メーカー,燃料タイプ,吸気,ドア数,ボディスタイル,駆動輪,エンジン位置,軸距,全長,全幅,全高,車両重量,エンジンタイプ,シリンダー数,エンジンサイズ,燃料システム,ボア,ストローク,圧縮比,馬力,最高出力発生回転数,都市燃費,高速道路燃費,価格
0,108,"nissan","gas","std","four","セダン","fwd","front",100.400000,184.600000,66.500000,55.100000,3060,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,19,25,13499
3,194,"nissan","gas","std","two","ハッチバック","rwd","front",91.300000,170.700000,67.900000,49.700000,3071,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,17199
3,194,"nissan","gas","turbo","two","ハッチバック","rwd","front",91.300000,170.700000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,7.800000,200,5200,17,23,19699
1,231,"nissan","gas","std","two","ハッチバック","rwd","front",99.200000,178.500000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,18399
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3020,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,11900
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3197,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,13200
0,,"peugot","gas","std","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3230,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,12440
0,,"peugot","diesel","turbo","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3430,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,25,25,13860
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3075,"l","four",120,"mpfi",3.460000,2.190000,8.400000,95,5000,19,24,15580
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3252,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,16900
0,,"peugot","gas","std","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,56.700000,3285,"l","four",120,"mpfi",3.460000,2.190000,8.400000,95,5000,19,24,16695
0,,"peugot","diesel","turbo","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3485,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,25,25,17075
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3075,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,16630
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3252,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,17950
0,161,"peugot","gas","turbo","four","セダン","rwd","front",108.000000,186.700000,68.300000,56.000000,3130,"l","four",134,"mpfi",3.610000,3.210000,7.000000,142,5600,18,24,18150
1,119,"plymouth","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,1918,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,37,41,5572
1,119,"plymouth","gas","turbo","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,2128,"ohc","four",98,"spdi",3.030000,3.390000,7.600000,102,5500,24,30,7957
1,154,"plymouth","gas","std","four","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.600000,1967,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6229
1,154,"plymouth","gas","std","four","セダン","fwd","front",93.700000,167.300000,63.800000,50.800000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6692
1,154,"plymouth","gas","std","four","セダン","fwd","front",93.700000,167.300000,63.800000,50.800000,2191,"ohc","four",98,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,7609
-1,74,"plymouth","gas","std","four","ワゴン","fwd","front",103.300000,174.600000,64.600000,59.800000,2535,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,24,30,8921
3,,"plymouth","gas","turbo","two","ハッチバック","rwd","front",95.900000,173.200000,66.300000,50.200000,2818,"ohc","four",156,"spdi",3.590000,3.860000,7.000000,145,5000,19,24,12764
3,186,"porsche","gas","std","two","ハッチバック","rwd","front",94.500000,168.900000,68.300000,50.200000,2778,"ohc","four",151,"mpfi",3.940000,3.110000,9.500000,143,5500,19,27,22018
3,,"porsche","gas","std","two","ハードトップ","rwd","rear",89.500000,168.900000,65.000000,51.600000,2756,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,32528
3,,"porsche","gas","std","two","ハードトップ","rwd","rear",89.500000,168.900000,65.000000,51.600000,2756,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,34028
3,,"porsche","gas","std","two","オープンカー","rwd","rear",89.500000,168.900000,65.000000,51.600000,2800,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,37028
0,,"renault","gas","std","four","ワゴン","fwd","front",96.100000,181.500000,66.500000,55.200000,2579,"ohc","four",132,"mpfi",3.460000,3.900000,8.700000,,,23,31,9295
2,,"renault","gas","std","two","ハッチバック","fwd","front",96.100000,176.800000,66.600000,50.500000,2460,"ohc","four",132,"mpfi",3.460000,3.900000,8.700000,,,23,31,9895
3,150,"saab","gas","std","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2658,"ohc","four",121,"mpfi",3.540000,3.070000,9.310000,110,5250,21,28,11850
2,104,"saab","gas","std","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2695,"ohc","four",121,"mpfi",3.540000,3.070000,9.300000,110,5250,21,28,12170
3,150,"saab","gas","std","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2707,"ohc","four",121,"mpfi",2.540000,2.070000,9.300000,110,5250,21,28,15040
2,104,"saab","gas","std","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2758,"ohc","four",121,"mpfi",3.540000,3.070000,9.300000,110,5250,21,28,15510
3,150,"saab","gas","turbo","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2808,"dohc","four",121,"mpfi",3.540000,3.070000,9.000000,160,5500,19,26,18150
2,104,"saab","gas","turbo","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2847,"dohc","four",121,"mpfi",3.540000,3.070000,9.000000,160,5500,19,26,18620
2,83,"subaru","gas","std","two","ハッチバック","fwd","front",93.700000,156.900000,63.400000,53.700000,2050,"ohcf","four",97,"2bbl",3.620000,2.360000,9.000000,69,4900,31,36,5118
2,83,"subaru","gas","std","two","ハッチバック","fwd","front",93.700000,157.900000,63.600000,53.700000,2120,"ohcf","four",108,"2bbl",3.620000,2.640000,8.700000,73,4400,26,31,7053
2,83,"subaru","gas","std","two","ハッチバック","4wd","front",93.300000,157.300000,63.800000,55.700000,2240,"ohcf","four",108,"2bbl",3.620000,2.640000,8.700000,73,4400,26,31,7603
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2145,"ohcf","four",108,"2bbl",3.620000,2.640000,9.500000,82,4800,32,37,7126
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2190,"ohcf","four",108,"2bbl",3.620000,2.640000,9.500000,82,4400,28,33,7775
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2340,"ohcf","four",108,"mpfi",3.620000,2.640000,9.000000,94,5200,26,32,9960
0,102,"subaru","gas","std","four","セダン","4wd","front",97.000000,172.000000,65.400000,54.300000,2385,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,24,25,9233
0,102,"subaru","gas","turbo","four","セダン","4wd","front",97.000000,172.000000,65.400000,54.300000,2510,"ohcf","four",108,"mpfi",3.620000,2.640000,7.700000,111,4800,24,29,11259
0,89,"subaru","gas","std","four","ワゴン","fwd","front",97.000000,173.500000,65.400000,53.000000,2290,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,28,32,7463
0,89,"subaru","gas","std","four","ワゴン","fwd","front",97.000000,173.500000,65.400000,53.000000,2455,"ohcf","four",108,"mpfi",3.620000,2.640000,9.000000,94,5200,25,31,10198
0,85,"subaru","gas","std","four","ワゴン","4wd","front",96.900000,173.600000,65.400000,54.900000,2420,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,23,29,8013
0,85,"subaru","gas","turbo","four","ワゴン","4wd","front",96.900000,173.600000,65.400000,54.900000,2650,"ohcf","four",108,"mpfi",3.620000,2.640000,7.700000,111,4800,23,23,11694
1,87,"toyota","gas","std","two","ハッチバック","fwd","front",95.700000,158.700000,63.600000,54.500000,1985,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,35,39,5348
1,87,"toyota","gas","std","two","ハッチバック","fwd","front",95.700000,158.700000,63.600000,54.500000,2040,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,31,38,6338
1,74,"toyota","gas","std","four","ハッチバック","fwd","front",95.700000,158.700000,63.600000,54.500000,2015,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,31,38,6488
0,77,"toyota","gas","std","four","ワゴン","fwd","front",95.700000,169.700000,63.600000,59.100000,2280,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,31,37,6918
0,81,"toyota","gas","std","four","ワゴン","4wd","front",95.700000,169.700000,63.600000,59.100000,2290,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,27,32,7898
0,91,"toyota","gas","std","four","ワゴン","4wd","front",95.700000,169.700000,63.600000,59.100000,3110,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,27,32,8778
0,91,"toyota","gas","std","four","セダン","fwd","front",95.700000,166.300000,64.400000,53.000000,2081,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,30,37,6938
0,91,"toyota","gas","std","four","ハッチバック","fwd","front",95.700000,166.300000,64.400000,52.800000,2109,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,30,37,7198
0,91,"toyota","diesel","std","four","セダン","fwd","front",95.700000,166.300000,64.400000,53.000000,2275,"ohc","four",110,"idi",3.270000,3.350000,22.500000,56,4500,34,36,7898
0,91,"toyota","diesel","std","four","ハッチバック","fwd","front",95.700000,166.300000,64.400000,52.800000,2275,"ohc","four",110,"idi",3.270000,3.350000,22.500000,56,4500,38,47,7788
0,91,"toyota","gas","std","four","セダン","fwd","front",95.700000,166.300000,64.400000,53.000000,2094,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,38,47,7738
0,91,"toyota","gas","std","four","ハッチバック","fwd","front",95.700000,166.300000,64.400000,52.800000,2122,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,28,34,8358
0,91,"toyota","gas","std","four","セダン","fwd","front",95.700000,166.300000,64.400000,52.800000,2140,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,28,34,9258
1,168,"toyota","gas","std","two","セダン","rwd","front",94.500000,168.700000,64.000000,52.600000,2169,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,29,34,8058
1,168,"toyota","gas","std","two","ハッチバック","rwd","front",94.500000,168.700000,64.000000,52.600000,2204,"ohc","four",98,"2bbl",3.190000,3.030000,9.000000,70,4800,29,34,8238
1,168,"toyota","gas","std","two","セダン","rwd","front",94.500000,168.700000,64.000000,52.600000,2265,"dohc","four",98,"mpfi",3.240000,3.080000,9.400000,112,6600,26,29,9298
1,168,"toyota","gas","std","two","ハッチバック","rwd","front",94.500000,168.700000,64.000000,52.600000,2300,"dohc","four",98,"mpfi",3.240000,3.080000,9.400000,112,6600,26,29,9538
2,134,"toyota","gas","std","two","ハードトップ","rwd","front",98.400000,176.200000,65.600000,52.000000,2540,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,8449
2,134,"toyota","gas","std","two","ハードトップ","rwd","front",98.400000,176.200000,65.600000,52.000000,2536,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,9639
2,134,"toyota","gas","std","two","ハッチバック","rwd","front",98.400000,176.200000,65.600000,52.000000,2551,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,9989
2,134,"toyota","gas","std","two","ハードトップ","rwd","front",98.400000,176.200000,65.600000,52.000000,2679,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,11199
2,134,"toyota","gas","std","two","ハッチバック","rwd","front",98.400000,176.200000,65.600000,52.000000,2714,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,11549
2,134,"toyota","gas","std","two","オープンカー","rwd","front",98.400000,176.200000,65.600000,53.000000,2975,"ohc","four",146,"mpfi",3.620000,3.500000,9.300000,116,4800,24,30,17669
-1,65,"toyota","gas","std","four","セダン","fwd","front",102.400000,175.600000,66.500000,54.900000,2326,"ohc","four",122,"mpfi",3.310000,3.540000,8.700000,92,4200,29,34,8948
-1,65,"toyota","diesel","turbo","four","セダン","fwd","front",102.400000,175.600000,66.500000,54.900000,2480,"ohc","four",110,"idi",3.270000,3.350000,22.500000,73,4500,30,33,10698
-1,65,"toyota","gas","std","four","ハッチバック","fwd","front",102.400000,175.600000,66.500000,53.900000,2414,"ohc","four",122,"mpfi",3.310000,3.540000,8.700000,92,4200,27,32,9988
-1,65,"toyota","gas","std","four","セダン","fwd","front",102.400000,175.600000,66.500000,54.900000,2414,"ohc","four",122,"mpfi",3.310000,3.540000,8.700000,92,4200,27,32,10898
-1,65,"toyota","gas","std","four","ハッチバック","fwd","front",102.400000,175.600000,66.500000,53.900000,2458,"ohc","four",122,"mpfi",3.310000,3.540000,8.700000,92,4200,27,32,11248
3,197,"toyota","gas","std","two","ハッチバック","rwd","front",102.900000,183.500000,67.700000,52.000000,2976,"dohc","six",171,"mpfi",3.270000,3.350000,9.300000,161,5200,20,24,16558
3,197,"toyota","gas","std","two","ハッチバック","rwd","front",102.900000,183.500000,67.700000,52.000000,3016,"dohc","six",171,"mpfi",3.270000,3.350000,9.300000,161,5200,19,24,15998
-1,90,"toyota","gas","std","four","セダン","rwd","front",104.500000,187.800000,66.500000,54.100000,3131,"dohc","six",171,"mpfi",3.270000,3.350000,9.200000,156,5200,20,24,15690
-1,,"toyota","gas","std","four","ワゴン","rwd","front",104.500000,187.800000,66.500000,54.100000,3151,"dohc","six",161,"mpfi",3.270000,3.350000,9.200000,156,5200,19,24,15750
2,122,"volkswagen","diesel","std","two","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2261,"ohc","four",97,"idi",3.010000,3.400000,23.000000,52,4800,37,46,7775
2,122,"volkswagen","gas","std","two","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2209,"ohc","four",109,"mpfi",3.190000,3.400000,9.000000,85,5250,27,34,7975
2,94,"volkswagen","diesel","std","four","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2264,"ohc","four",97,"idi",3.010000,3.400000,23.000000,52,4800,37,46,7995
2,94,"volkswagen","gas","std","four","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2212,"ohc","four",109,"mpfi",3.190000,3.400000,9.000000,85,5250,27,34,8195
2,94,"volkswagen","gas","std","four","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2275,"ohc","four",109,"mpfi",3.190000,3.400000,9.000000,85,5250,27,34,8495
2,94,"volkswagen","diesel","turbo","four","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2319,"ohc","four",97,"idi",3.010000,3.400000,23.000000,68,4500,37,42,9495
2,94,"volkswagen","gas","std","four","セダン","fwd","front",97.300000,171.700000,65.500000,55.700000,2300,"ohc","four",109,"mpfi",3.190000,3.400000,10.000000,100,5500,26,32,9995
3,,"volkswagen","gas","std","two","オープンカー","fwd","front",94.500000,159.300000,64.200000,55.600000,2254,"ohc","four",109,"mpfi",3.190000,3.400000,8.500000,90,5500,24,29,11595
3,256,"volkswagen","gas","std","two","ハッチバック","fwd","front",94.500000,165.700000,64.000000,51.400000,2221,"ohc","four",109,"mpfi",3.190000,3.400000,8.500000,90,5500,24,29,9980
0,,"volkswagen","gas","std","four","セダン","fwd","front",100.400000,180.200000,66.900000,55.100000,2661,"ohc","five",136,"mpfi",3.190000,3.400000,8.500000,110,5500,19,24,13295
0,,"volkswagen","diesel","turbo","four","セダン","fwd","front",100.400000,180.200000,66.900000,55.100000,2579,"ohc","four",97,"idi",3.010000,3.400000,23.000000,68,4500,33,38,13845
0,,"volkswagen","gas","std","four","ワゴン","fwd","front",100.400000,183.100000,66.900000,55.100000,2563,"ohc","four",109,"mpfi",3.190000,3.400000,9.000000,88,5500,25,31,12290
-2,103,"volvo","gas","std","four","セダン","rwd","front",104.300000,188.800000,67.200000,56.200000,2912,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,23,28,12940
-1,74,"volvo","gas","std","four","ワゴン","rwd","front",104.300000,188.800000,67.200000,57.500000,3034,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,23,28,13415
-2,103,"volvo","gas","std","four","セダン","rwd","front",104.300000,188.800000,67.200000,56.200000,2935,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,24,28,15985
-1,74,"volvo","gas","std","four","ワゴン","rwd","front",104.300000,188.800000,67.200000,57.500000,3042,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,24,28,16515
-2,103,"volvo","gas","turbo","four","セダン","rwd","front",104.300000,188.800000,67.200000,56.200000,3045,"ohc","four",130,"mpfi",3.620000,3.150000,7.500000,162,5100,17,22,18420
-1,74,"volvo","gas","turbo","four","ワゴン","rwd","front",104.300000,188.800000,67.200000,57.500000,3157,"ohc","four",130,"mpfi",3.620000,3.150000,7.500000,162,5100,17,22,18950
-1,95,"volvo","gas","std","four","セダン","rwd","front",109.100000,188.800000,68.900000,55.500000,2952,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,23,28,16845
-1,95,"volvo","gas","turbo","four","セダン","rwd","front",109.100000,188.800000,68.800000,55.500000,3049,"ohc","four",141,"mpfi",3.780000,3.150000,8.700000,160,5300,19,25,19045
-1,95,"volvo","gas","std","four","セダン","rwd","front",109.100000,188.800000,68.900000,55.500000,3012,"ohcv","six",173,"mpfi",3.580000,2.870000,8.800000,134,5500,18,23,21485
-1,95,"volvo","diesel","turbo","four","セダン","rwd","front",109.100000,188.800000,68.900000,55.500000,3217,"ohc","six",145,"idi",3.010000,3.400000,23.000000,106,4800,26,27,22470
-1,95,"volvo","gas","turbo","four","セダン","rwd","front",109.100000,188.800000,68.900000,55.500000,3062,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,19,25,22625
